A_f,B_f,C_f,D_f,E_f,F_f,G_f,customer_ID
1,0,4,3,0,1,2,10000797
0,0,2,2,0,0,2,10000802
1,0,3,3,0,2,1,10000803
1,1,2,3,1,1,3,10000807
1,1,3,3,0,2,2,10000810
1,0,2,2,0,2,2,10000811
1,1,3,3,1,1,2,10000814
0,0,1,2,0,0,2,10000817
1,1,1,2,1,2,2,10000820
1,1,3,3,0,2,3,10000824
1,1,3,3,1,2,3,10000830
2,1,3,2,1,3,3,10000833
1,1,2,2,1,2,2,10000834
1,1,3,3,1,2,2,10000836
0,0,3,3,0,0,2,10000840
2,0,3,3,0,2,3,10000843
1,0,4,3,0,2,3,10000844
0,0,3,3,0,0,2,10000849
1,1,2,1,1,2,2,10000859
1,1,3,3,1,2,3,10000862
1,0,2,3,0,1,2,10000870
2,1,1,3,0,2,3,10000872
0,1,3,3,0,1,2,10000873
0,0,2,2,0,0,2,10000876
0,0,2,2,0,0,2,10000878
1,1,3,3,1,1,3,10000881
2,1,1,1,0,3,2,10000883
2,0,3,3,0,3,2,10000884
1,1,4,3,1,1,4,10000885
1,1,2,3,0,2,2,10000887
1,0,3,3,0,0,2,10000893
1,1,3,3,0,1,2,10000895
0,0,3,2,0,0,2,10000901
1,0,3,3,1,2,3,10000902
1,0,4,3,0,1,4,10000906
1,0,3,3,0,2,2,10000909
2,0,3,3,0,0,2,10000910
1,0,2,2,0,2,4,10000911
1,0,2,2,1,2,1,10000915
1,1,3,3,1,2,3,10000916
1,0,3,3,0,0,2,10000917
1,0,1,2,0,0,2,10000918
1,1,2,3,1,2,2,10000920
1,0,3,3,0,2,3,10000927
1,0,2,3,1,1,4,10000928
2,0,1,1,0,3,2,10000938
1,1,1,3,1,1,2,10000939
0,1,1,2,0,0,2,10000950
1,0,2,2,0,0,3,10000952
0,0,2,3,0,0,2,10000954
0,0,3,3,0,0,2,10000955
1,0,3,3,0,0,2,10000956
1,1,2,3,0,2,1,10000957
0,0,1,2,0,2,1,10000964
0,0,1,1,0,0,2,10000968
1,0,3,2,1,0,2,10000977
1,1,3,2,1,1,2,10000979
2,0,1,2,0,1,2,10000981
1,0,1,2,1,1,2,10000984
1,0,2,2,1,2,2,10000985
1,0,3,3,1,1,2,10000986
1,0,3,3,0,1,1,10000990
1,0,1,1,1,2,3,10000991
1,1,3,3,1,2,3,10000995
1,1,3,3,1,1,2,10000996
1,1,1,3,1,1,2,10000997
0,0,2,2,0,0,2,10000998
1,1,2,2,0,2,3,10001000
1,0,3,3,0,2,1,10001001
2,0,2,2,0,3,2,10001005
1,1,1,2,0,2,3,10001008
1,1,1,3,1,1,3,10001010
1,1,3,3,1,2,1,10001011
0,0,2,2,0,0,2,10001012
0,0,1,1,0,0,2,10001013
2,0,3,3,0,3,3,10001015
1,0,3,3,0,1,1,10001017
1,1,2,2,1,2,2,10001025
0,0,1,1,0,0,2,10001026
1,1,1,1,1,2,1,10001028
0,0,1,1,0,0,3,10001031
1,0,2,2,1,2,3,10001033
0,1,1,1,1,2,1,10001034
0,0,1,3,0,0,1,10001036
1,0,3,3,1,2,4,10001042
1,1,2,3,1,1,3,10001046
1,1,2,2,1,0,2,10001047
1,1,2,2,0,2,2,10001052
1,1,3,3,1,0,2,10001055
1,0,2,3,0,0,2,10001056
1,1,2,3,0,0,2,10001058
1,0,4,3,0,0,2,10001060
1,1,2,3,1,2,3,10001062
0,0,2,2,0,0,1,10001065
0,0,3,3,0,0,2,10001066
2,0,1,3,1,1,1,10001069
0,1,3,3,0,2,3,10001075
2,0,4,3,0,2,3,10001080
1,0,4,3,0,2,1,10001082
1,0,3,3,0,2,2,10001085
1,0,1,3,1,0,1,10001088
2,1,1,2,0,3,1,10001093
0,0,1,2,0,0,1,10001095
1,0,1,1,0,2,2,10001096
0,0,1,1,0,0,1,10001097
1,1,1,1,0,2,2,10001101
1,1,3,3,1,0,2,10001102
1,1,1,1,1,2,2,10001105
1,0,3,3,0,1,3,10001108
1,0,3,3,1,0,1,10001109
1,1,1,3,1,2,2,10001111
2,1,3,2,1,3,2,10001115
1,1,3,3,0,2,2,10001118
2,1,3,3,1,2,2,10001119
1,1,3,3,1,0,2,10001120
0,1,3,3,1,1,2,10001125
1,0,3,3,0,2,2,10001132
1,0,1,2,0,1,2,10001138
0,0,1,1,0,0,2,10001142
1,0,3,3,0,1,2,10001144
1,0,3,3,0,2,3,10001148
2,1,3,3,1,3,4,10001149
1,0,1,1,0,2,1,10001150
1,1,3,3,1,1,2,10001151
0,0,1,1,0,0,2,10001158
0,0,2,3,0,0,2,10001164
1,0,1,1,0,2,4,10001165
1,0,1,2,1,2,2,10001166
1,1,1,2,1,2,1,10001167
1,1,3,3,1,0,2,10001169
2,1,1,2,1,2,3,10001172
1,1,2,3,0,2,2,10001175
0,1,3,3,0,0,2,10001179
1,0,1,2,0,2,1,10001182
2,1,3,3,1,1,3,10001185
1,1,1,3,1,2,3,10001187
1,0,3,3,0,2,1,10001188
0,0,2,2,0,0,4,10001189
0,1,3,3,0,0,3,10001194
1,1,1,2,1,2,2,10001196
1,0,3,3,0,2,2,10001210
0,0,3,3,0,0,3,10001211
2,0,4,3,0,2,2,10001212
1,1,2,3,0,2,3,10001214
1,1,1,2,1,1,2,10001216
0,0,3,2,0,0,2,10001217
1,1,3,3,1,2,1,10001218
1,0,3,3,0,2,3,10001220
1,0,1,1,0,0,1,10001223
1,0,3,3,0,0,2,10001224
1,0,3,3,0,1,3,10001227
1,1,1,1,1,2,2,10001230
0,0,3,2,0,0,1,10001231
1,0,2,2,1,1,2,10001234
0,1,1,1,0,2,2,10001238
1,1,3,3,1,2,2,10001240
1,0,3,3,0,2,1,10001245
2,1,1,2,1,2,1,10001262
1,0,3,3,0,1,3,10001267
1,0,3,3,1,0,1,10001269
0,0,1,2,0,0,3,10001274
1,1,4,3,1,1,3,10001278
0,0,3,3,0,0,2,10001282
1,1,1,3,0,2,2,10001283
2,1,4,3,0,3,2,10001289
2,0,1,3,0,3,3,10001292
1,1,3,3,1,0,3,10001294
2,0,1,1,0,1,2,10001295
1,1,1,2,0,2,1,10001298
1,0,2,2,0,1,4,10001299
1,1,1,2,1,1,2,10001300
1,1,3,3,1,2,3,10001305
0,0,2,2,0,0,1,10001306
1,1,3,3,1,2,3,10001307
0,1,3,3,0,0,2,10001309
0,1,2,2,0,0,2,10001311
0,1,1,2,0,0,1,10001312
1,1,1,2,1,2,3,10001315
1,0,4,3,0,2,3,10001316
2,0,1,2,0,2,2,10001326
1,1,3,3,0,0,2,10001332
1,1,3,3,1,0,2,10001335
1,0,1,1,0,2,2,10001336
0,1,3,3,0,2,2,10001337
1,1,1,2,1,2,2,10001338
0,1,1,1,0,0,3,10001341
0,0,3,3,0,2,1,10001343
1,1,3,3,1,0,2,10001345
1,1,3,3,1,1,4,10001346
1,0,4,3,1,0,3,10001351
2,0,3,3,1,1,3,10001354
1,1,3,3,1,2,2,10001356
1,1,3,3,0,1,2,10001360
1,0,1,2,0,2,3,10001362
1,1,3,3,0,1,3,10001363
0,0,1,1,0,0,1,10001364
1,0,2,2,1,1,4,10001365
2,0,1,2,0,3,2,10001367
1,0,3,2,1,0,4,10001368
0,1,4,3,1,1,3,10001374
1,1,2,2,1,2,2,10001377
1,1,3,3,1,1,3,10001378
1,0,2,2,0,2,1,10001383
2,1,2,3,1,0,2,10001384
1,1,3,3,1,1,2,10001387
1,0,1,3,0,2,1,10001388
1,0,1,2,1,1,1,10001392
1,0,3,2,1,1,3,10001393
1,1,3,3,1,2,2,10001394
1,1,4,3,1,1,2,10001399
0,0,1,1,0,0,4,10001400
1,0,2,2,0,2,3,10001402
2,0,3,2,0,3,3,10001404
1,1,3,3,1,2,3,10001406
1,1,3,2,1,2,1,10001410
0,1,2,2,0,1,2,10001411
1,0,3,2,0,1,2,10001414
0,0,1,2,0,0,1,10001415
1,0,3,3,1,2,3,10001418
0,0,1,1,0,0,2,10001426
1,1,3,3,1,2,3,10001430
1,0,4,3,1,1,3,10001437
0,0,3,3,0,0,2,10001438
2,1,3,3,1,0,1,10001440
1,0,3,3,0,2,2,10001441
1,1,3,2,1,0,4,10001442
1,0,4,3,1,1,2,10001446
1,1,2,3,1,1,3,10001451
2,0,1,1,0,0,2,10001454
1,1,3,3,1,2,3,10001458
1,0,2,2,0,2,2,10001465
2,0,3,3,0,2,3,10001466
0,1,2,3,0,2,2,10001469
1,1,2,3,1,2,3,10001471
1,0,3,3,0,2,3,10001474
1,0,3,3,0,0,2,10001475
0,0,1,2,0,0,2,10001476
1,0,1,3,0,2,1,10001479
1,1,3,3,1,2,2,10001480
0,0,3,3,0,0,1,10001482
0,0,1,2,0,0,1,10001483
1,1,4,3,1,2,2,10001484
1,1,3,3,1,1,1,10001485
2,1,1,2,1,3,2,10001487
0,0,1,1,0,0,3,10001489
1,0,1,1,0,2,3,10001497
0,1,2,3,0,0,2,10001502
1,1,4,3,1,1,1,10001504
1,0,3,3,0,1,1,10001505
1,0,3,3,0,2,1,10001507
1,0,2,3,0,2,1,10001509
1,1,2,3,1,2,2,10001513
1,1,3,3,1,2,3,10001515
1,1,3,3,1,1,2,10001521
0,1,2,2,0,0,4,10001523
1,0,4,3,1,2,4,10001525
0,0,3,3,0,0,2,10001530
2,0,1,1,0,3,1,10001532
1,1,1,2,1,2,2,10001534
1,0,2,2,0,1,1,10001535
1,1,3,3,1,0,2,10001538
1,1,1,3,1,2,3,10001542
1,1,1,1,0,2,3,10001543
1,1,2,3,1,1,3,10001544
2,0,2,3,1,2,3,10001545
0,0,3,3,0,0,3,10001546
1,1,1,2,1,1,2,10001547
0,0,1,2,0,0,2,10001548
1,1,2,3,1,1,1,10001549
1,0,3,3,0,0,1,10001551
0,0,1,3,0,0,1,10001553
1,0,3,2,0,0,2,10001555
1,1,3,3,1,0,2,10001560
1,1,3,3,0,0,1,10001563
1,1,2,2,1,2,2,10001566
1,1,3,3,1,2,3,10001568
0,0,2,3,0,0,3,10001569
2,1,1,1,0,3,2,10001575
1,0,1,1,0,2,2,10001578
1,0,2,3,0,1,4,10001581
1,0,2,3,0,2,2,10001582
0,0,2,2,0,0,2,10001583
1,1,3,3,1,1,3,10001585
1,1,2,2,1,1,2,10001586
1,1,1,2,1,1,2,10001587
0,0,3,3,0,0,2,10001591
1,1,3,3,1,0,2,10001592
1,0,3,3,1,0,4,10001593
1,0,1,1,0,2,2,10001597
1,0,4,3,0,0,2,10001600
1,1,3,3,1,1,1,10001603
1,0,3,3,0,0,1,10001606
1,1,2,3,1,1,2,10001609
1,1,3,3,0,1,4,10001610
1,1,1,3,1,2,3,10001613
1,0,3,3,1,2,4,10001617
1,0,3,3,1,2,3,10001620
1,0,3,3,0,1,1,10001622
1,1,3,3,1,2,4,10001625
1,0,3,3,1,0,1,10001627
1,1,2,2,1,2,2,10001629
2,1,2,2,1,2,3,10001638
1,0,3,3,0,2,3,10001641
1,1,2,3,1,1,3,10001642
1,1,2,3,0,1,4,10001643
1,1,2,3,1,2,2,10001646
1,1,3,3,1,1,4,10001647
1,1,1,2,1,2,2,10001649
2,1,3,3,0,3,2,10001652
1,1,3,3,1,2,3,10001656
1,0,2,2,0,1,2,10001658
1,0,1,1,0,2,2,10001659
1,1,2,2,0,2,2,10001664
1,1,4,3,1,0,2,10001665
2,0,3,3,0,2,3,10001668
0,1,1,3,0,0,2,10001670
1,0,1,3,1,2,3,10001671
1,1,4,3,1,1,2,10001680
2,1,3,3,1,1,3,10001681
0,0,1,2,0,0,3,10001685
1,0,1,1,0,2,2,10001686
0,0,1,2,0,0,2,10001694
1,1,2,3,1,1,3,10001697
0,0,1,3,0,0,1,10001699
1,1,3,3,1,0,1,10001700
1,1,3,3,1,1,2,10001701
2,0,1,1,0,3,1,10001703
1,1,1,2,1,2,3,10001706
2,1,3,2,1,3,4,10001707
1,1,2,2,1,2,4,10001708
0,0,1,1,0,0,2,10001711
1,1,2,2,1,1,3,10001712
1,0,3,3,0,2,1,10001715
1,1,3,3,1,1,3,10001716
2,0,3,3,0,2,2,10001717
1,0,1,2,0,2,2,10001718
1,0,1,1,0,2,3,10001719
1,0,1,1,0,2,2,10001722
1,0,2,2,0,2,1,10001733
1,1,3,3,0,2,1,10001736
1,1,3,3,1,2,3,10001742
1,0,3,3,0,2,3,10001746
1,0,2,3,0,0,1,10001747
2,0,2,3,0,3,1,10001750
1,0,3,3,1,2,2,10001754
1,0,1,1,0,2,3,10001761
0,1,3,3,0,0,2,10001762
1,1,2,3,1,1,3,10001770
1,1,2,2,1,0,2,10001771
1,1,2,2,1,2,1,10001775
1,0,2,3,0,0,2,10001777
1,1,4,3,1,1,2,10001780
1,1,3,3,1,0,2,10001782
0,1,2,3,0,0,2,10001784
0,0,2,2,0,0,2,10001786
1,0,1,3,0,2,2,10001787
1,0,3,3,0,2,1,10001788
1,1,3,2,1,1,2,10001791
1,1,3,3,0,1,1,10001793
1,1,4,3,1,2,4,10001794
1,0,2,3,0,2,3,10001802
0,0,2,2,0,0,2,10001808
1,0,2,2,0,1,2,10001809
1,1,1,1,1,1,2,10001812
1,1,3,3,1,0,2,10001814
1,1,4,3,0,1,3,10001816
2,0,4,3,0,1,3,10001823
2,0,3,3,0,3,1,10001824
1,1,2,2,1,2,1,10001825
0,1,3,3,0,0,2,10001826
1,1,3,3,1,2,1,10001827
2,0,1,2,0,3,3,10001830
1,1,2,2,1,1,2,10001832
0,0,3,3,0,2,3,10001833
1,0,3,3,0,2,3,10001841
1,1,2,2,0,2,2,10001843
1,1,4,3,1,0,2,10001844
0,0,3,3,0,0,2,10001848
0,1,2,3,0,2,1,10001849
0,1,3,3,0,0,4,10001852
1,0,3,3,0,2,1,10001861
0,0,3,3,0,0,3,10001863
0,0,3,3,0,0,2,10001865
1,1,2,3,1,2,2,10001867
1,1,2,2,1,2,2,10001869
1,1,4,3,1,1,1,10001875
0,0,1,3,0,0,2,10001877
1,1,3,3,1,0,2,10001880
1,0,3,3,0,2,2,10001883
1,1,3,3,1,2,2,10001885
1,1,3,3,1,2,1,10001887
1,0,2,2,0,2,1,10001888
1,1,2,3,1,2,2,10001889
1,0,4,3,1,2,1,10001890
1,0,2,2,0,2,1,10001891
1,1,2,2,0,1,3,10001892
1,1,1,2,0,1,2,10001895
0,0,3,3,0,0,2,10001899
1,1,4,3,0,1,3,10001900
0,0,1,1,0,0,2,10001903
1,1,1,1,0,1,1,10001912
1,1,3,3,1,1,3,10001917
1,0,4,3,1,2,3,10001924
0,1,2,3,0,0,3,10001925
0,0,3,3,0,0,2,10001926
1,0,3,3,1,0,2,10001930
1,0,1,3,0,2,2,10001932
1,0,3,3,1,0,2,10001934
1,1,2,3,1,0,4,10001938
2,0,1,2,0,0,2,10001939
1,1,3,3,1,1,3,10001941
1,1,3,3,1,0,2,10001947
1,1,1,2,1,2,1,10001950
1,1,1,3,1,2,2,10001952
1,0,3,3,0,0,2,10001954
0,1,3,3,0,0,2,10001956
1,0,2,3,0,0,4,10001957
1,0,3,2,0,2,2,10001959
1,1,1,3,0,1,3,10001961
0,0,1,1,0,0,2,10001964
0,0,3,3,0,0,2,10001966
1,0,3,3,0,2,3,10001971
1,1,2,3,0,2,3,10001974
1,1,3,3,0,2,2,10001990
1,0,2,1,0,1,4,10001993
1,1,2,3,1,2,2,10001995
1,0,3,3,0,0,2,10001996
0,0,3,3,0,0,2,10001997
1,1,2,3,1,2,2,10001999
1,1,2,3,1,1,3,10002001
1,0,4,3,1,1,2,10002010
1,0,3,3,1,2,1,10002013
0,0,1,1,0,2,2,10002017
2,0,3,2,0,0,2,10002018
1,0,3,2,0,1,3,10002020
2,1,3,3,1,3,3,10002021
1,1,2,3,0,2,1,10002022
1,0,1,3,1,1,2,10002023
1,0,4,3,0,1,1,10002025
1,0,4,3,0,2,3,10002026
0,1,1,2,0,0,1,10002027
1,0,1,2,0,0,1,10002031
1,0,3,3,0,2,3,10002035
1,1,3,3,1,2,1,10002038
1,0,3,3,0,0,2,10002039
1,0,2,3,1,0,2,10002044
1,0,3,2,0,2,2,10002046
1,1,3,3,1,1,1,10002047
0,0,2,2,0,0,2,10002049
1,1,3,3,1,1,4,10002052
2,1,3,3,0,1,1,10002054
2,0,3,3,1,2,3,10002056
1,0,3,3,1,1,1,10002057
1,1,3,3,1,1,1,10002060
1,0,1,1,1,0,2,10002062
0,1,2,2,0,0,1,10002073
1,1,3,3,1,1,3,10002075
2,1,1,3,1,0,2,10002077
1,1,3,2,1,0,1,10002081
1,0,3,3,0,0,1,10002083
1,1,1,2,0,2,2,10002086
1,0,3,3,0,0,2,10002090
1,0,3,3,1,2,2,10002092
1,0,3,3,0,2,2,10002093
0,0,1,3,0,0,4,10002094
2,1,2,2,0,1,2,10002095
1,1,4,3,1,2,2,10002097
